SrNo, name, price, specifications, imagesLink, linkToPage
21,Micromax Vdeo 5 (Grey_ 8 GB)  (1 GB RAM),₹6_749,1 GB RAM | 8 GB ROM | Expandable Upto 32 GB | 13.97 cm (5.5 inch) HD Display | 8MP Rear Camera | 5MP Front Camera | 3000 mAh Li-Ion Battery | Spreadtrum SC9832 A7 Processor | ,https://rukminim1.flixcart.com/image/832/832/j79czgw0/mobile/z/h/j/micromax-vdeo-5-q4220-original-imaexjnxzv8evqde.jpeg?q=70,https://www.flipkart.com/micromax-vdeo-5-grey-8-gb/p/itmeuyd8zewf9kct?pid=MOBETC9SHQQQSZHJ&srno=s_50_1198&otracker=search&lid=LSTMOBETC9SHQQQSZHJT01MXY&fm=organic&iid=fe8f4e1e-3996-4c29-b458-72f4436969e0.MOBETC9SHQQQSZHJ.SEARCH&qH=532c28d5412dd75b
22,Celkon C327  (Black),₹845,32 MB RAM | 32 MB ROM | Expandable Upto 16 GB | 4.57 cm (1.8 inch) Display | 1.3MP Rear Camera | 1000 mAh Battery | ,https://rukminim1.flixcart.com/image/832/832/j3j1le80/mobile/s/x/w/celkon-c327-c327-original-imaeujn7bugpgfkf.jpeg?q=70,https://www.flipkart.com/celkon-c327/p/itmeumvsmsyccyaz?pid=MOBEUMVSY8ARZSXW&srno=s_50_1199&otracker=search&lid=LSTMOBEUMVSY8ARZSXWDXCRUK&fm=organic&iid=a806dc00-3a34-4ed6-aff8-efa5b17fb152.MOBEUMVSY8ARZSXW.SEARCH&qH=532c28d5412dd75b
23,Google Pixel XL (Very Silver_ 32 GB)  (4 GB RAM),₹40_999,4 GB RAM | 32 GB ROM | | 13.97 cm (5.5 inch) Quad HD Display | 12.3MP Rear Camera | 8MP Front Camera | 3450 mAh Battery | Qualcomm Snapdragon 821 64-bit Quad Core 2.15GHz Processor | ,https://rukminim1.flixcart.com/image/832/832/mobile/n/t/j/google-pixel-xl-m7-original-imaemzzgsfuvy7ek.jpeg?q=70,https://www.flipkart.com/google-pixel-xl-very-silver-32-gb/p/itmemv9sfsag3nty?pid=MOBEMV9S4Y2PECHY&srno=s_50_1200&otracker=search&lid=LSTMOBEMV9S4Y2PECHYCSDQSA&fm=organic&iid=829d8679-b1e1-426a-8052-44a732e4f8f3.MOBEMV9S4Y2PECHY.SEARCH&qH=532c28d5412dd75b
24,Celkon C410  (Black & White),₹999,1 MB RAM | 1 MB ROM | | 6.1 cm (2.4 inch) Display | 1.3MP Rear Camera | 1000 mAh Battery | ,https://rukminim1.flixcart.com/image/832/832/jg2kqkw0/mobile/m/u/f/celkon-c410-c410-original-imaf4cz8aerfr5zb.jpeg?q=70,https://www.flipkart.com/celkon-c410/p/itmf4ef7gywqc4ek?pid=MOBF4DY9TUVFTMUF&srno=s_49_1153&otracker=search&lid=LSTMOBF4DY9TUVFTMUF5RSL0C&fm=organic&iid=70b02e7a-6a82-48ca-8048-29c91f14db71.MOBF4DY9TUVFTMUF.SEARCH&qH=532c28d5412dd75b
25,Lemon Blaze Plus 502 (Grey_ 16 GB)  (2 GB RAM),₹4_699,2 GB RAM | 16 GB ROM | Expandable Upto 32 GB | 12.7 cm (5 inch) quarter HD Display | 8MP Rear Camera | 5MP Front Camera | 2200 mAh Battery | ,https://rukminim1.flixcart.com/image/832/832/jezzukw0/mobile/t/h/x/lemon-blaze-plus-502-blaze-plus-502-original-imaf3j7yrwv65khq.jpeg?q=70,https://www.flipkart.com/lemon-blaze-plus-502-grey-16-gb/p/itmf3k2c3gpmzzdn?pid=MOBF3J74UYYHETHX&srno=s_49_1154&otracker=search&lid=LSTMOBF3J74UYYHETHX7KZBCS&fm=organic&iid=4ace5c45-1ace-4720-a313-a4762c324ba0.MOBF3J74UYYHETHX.SEARCH&qH=532c28d5412dd75b
26,Apple iPhone 6 (Gold_ 64 GB),₹25_999,64 GB ROM | | 11.94 cm (4.7 inch) Retina HD Display | 8MP Rear Camera | 1.2MP Front Camera | Li-Ion Battery | A8 Chip with 64-bit Architecture and M8 Motion Co-processor | ,https://rukminim1.flixcart.com/image/832/832/mobile/a/z/h/apple-iphone-6-original-imaeynf5tzfkzaym.jpeg?q=70,https://www.flipkart.com/apple-iphone-6-gold-64-gb/p/itmey3ndwjre2dgf?pid=MOBEYHZ2VSVKHAZH&srno=s_49_1155&otracker=search&lid=LSTMOBEYHZ2VSVKHAZH3F1MMU&fm=organic&iid=d5a9be54-154e-46c2-89f1-95f908a28558.MOBEYHZ2VSVKHAZH.SEARCH&qH=532c28d5412dd75b
27,I-Plus I-6  (Black & White),₹699,20 MB RAM | 32 MB ROM | | 4.57 cm (1.8 inch) Display | 0.03MP Rear Camera | 1000 mAh Battery | ,https://rukminim1.flixcart.com/image/832/832/jduk2vk0/mobile/h/y/r/iplus-i-6-i-6-original-imaf2gn36stfkgvk.jpeg?q=70,https://www.flipkart.com/i-plus-i-6/p/itmf3gfppnqsmb8r?pid=MOBF2MYFUZGYHHYR&srno=s_49_1156&otracker=search&lid=LSTMOBF2MYFUZGYHHYROTHCDU&fm=organic&iid=5aa9a8c9-1c24-4934-aad7-0abf0e673ada.MOBF2MYFUZGYHHYR.SEARCH&qH=532c28d5412dd75b
28,Lava Z25 (Gold_ 32 GB)  (4 GB RAM),₹18_000,4 GB RAM | 32 GB ROM | Expandable Upto 128 GB | 13.97 cm (5.5 inch) HD Display | 13MP Rear Camera | 8MP Front Camera | 3020 mAh Battery | Mediatek MT6750 Octa Core 1.5GHz Processor | ,https://rukminim1.flixcart.com/image/832/832/j0sg7m80/mobile/z/m/2/lava-z25-na-original-imaeshfqm8rnwy85.jpeg?q=70,https://www.flipkart.com/lava-z25-gold-32-gb/p/itmeshfawymx2ed2?pid=MOBESHFAJEYE4GS6&srno=s_49_1157&otracker=search&lid=LSTMOBESHFAJEYE4GS6OV6F0C&fm=organic&iid=339d0fe8-9e04-4de6-bfdb-d3cb1ad44a33.MOBESHFAJEYE4GS6.SEARCH&qH=532c28d5412dd75b
29,Lava Z25 (Grey_ 32 GB)  (4 GB RAM),₹18_000,4 GB RAM | 32 GB ROM | Expandable Upto 128 GB | 13.97 cm (5.5 inch) HD Display | 13MP Rear Camera | 8MP Front Camera | 3020 mAh Battery | MT6750 Processor | ,https://rukminim1.flixcart.com/image/832/832/j0sg7m80/mobile/z/m/2/lava-z25-na-original-imaeshfqm8rnwy85.jpeg?q=70,https://www.flipkart.com/lava-z25-grey-32-gb/p/itmeshfawymx2ed2?pid=MOBESHFYMW4Y2ZM2&srno=s_49_1158&otracker=search&lid=LSTMOBESHFYMW4Y2ZM2AGQSQA&fm=organic&iid=4003eb8c-19ce-43a0-8526-27003f903f98.MOBESHFYMW4Y2ZM2.SEARCH&qH=532c28d5412dd75b
30,Itel IT 5040  (Black & Red),₹1_399,32 MB RAM | 32 MB ROM | | 6.1 cm (2.4 inch) Display | 0.3MP Rear Camera | 1900 mAh Battery | ,https://rukminim1.flixcart.com/image/832/832/jjkbhjk0/mobile/g/x/w/itel-it-5040-it-5040-original-imaf73uychqgta3j.jpeg?q=70,https://www.flipkart.com/itel-it-5040/p/itmf4hzyhy3btgdz?pid=MOBF4H2BGZRY3GXW&srno=s_49_1159&otracker=search&lid=LSTMOBF4H2BGZRY3GXWBFLHBT&fm=organic&iid=f484089a-79f9-4ab4-a54a-42683434a751.MOBF4H2BGZRY3GXW.SEARCH&qH=532c28d5412dd75b
