65,Moto E5 Plus (Black_ 5000 mAh Battery),   11_999.00,https://www.amazon.in/Moto-Plus-Black-5000-Battery/dp/B077PWK5BT
66,Honor 7X (Blue_ 4GB RAM + 64GB Memory),   14_990.00,https://www.amazon.in/Honor-Blue-4GB-64GB-Memory/dp/B077PTT8SK
67,Samsung Galaxy On7 Prime (Black_ 4GB RAM + 64GB Memory),   11_990.00,https://www.amazon.in/Samsung-Galaxy-Prime-Black-Memory/dp/B0756RCTK2
68,Nokia 105 (Dual SIM_ White),   1_149.00,https://www.amazon.in/Nokia-105-Dual-SIM-White/dp/B07464RNWJ
69,Samsung On5 Pro (Black),   6_990.00,https://www.amazon.in/Samsung-G-550FY-On5-Pro-Black/dp/B01FM7GG58
70,Samsung Guru FM Plus (SM-B110E/D_ Dark Blue),   1_375.00,https://www.amazon.in/Samsung-Guru-Plus-SM-B110E-Dark/dp/B011EW69EI
71,Lenovo K8 Plus (Venom Black),   8_298.00,https://www.amazon.in/Lenovo-K8-Plus-Venom-Black/dp/B079JC4K7C
72,Samsung Guru 1200 (Gold),   1_100.00,https://www.amazon.in/Samsung-Guru-1200-Gold/dp/B07D4RXZ5J
73,Samsung Galaxy On7 Prime (Gold_ 4GB RAM + 64GB Memory),   11_990.00,https://www.amazon.in/Samsung-Galaxy-Prime-Gold-Memory/dp/B0756RCTK1
74,"Honor 7C Gold (5.99"" FullView Display_ 32GB)",   9_999.00,https://www.amazon.in/Honor-Gold-5-99-FullView-Display/dp/B077Q44CL2
75,Infocus Hero Smart P4 Mobile Phone with Basic Features(Black),   708.00,https://www.amazon.in/Infocus-Smart-Mobile-Phone-Features/dp/B0758GWFSX
76,Huawei P20 Lite Midnight Black (19:9 Full View Display_ 24MP Front Camera_ 64GB),   19_999.00,https://www.amazon.in/Huawei-P20-Lite-Midnight-Black/dp/B077Q195JB
77,Samsung Guru 1200 (GT-E1200_ White),   1_100.00,https://www.amazon.in/Samsung-Guru-1200-GT-E1200-White/dp/B008IEGRYS
78,Vivo V9 Youth (Black),   16_990.00,https://www.amazon.in/Vivo-V9-Youth-Black/dp/B07C6Y2BFP
79,Samsung Galaxy J8 (Blue_ 64GB) with Offers,   17_990.00,https://www.amazon.in/Samsung-Galaxy-J8-Blue-Offers/dp/B07DZZKBBL
80,Lenovo K8 Note (Fine Gold_ 3GB) with New System Update,   9_099.00,https://www.amazon.in/Lenovo-Note-Fine-System-Update/dp/B01MU2AVOR
81,Redmi Note 5 Pro 4GB RAM 64GB ROM Black,   17_900.00,https://www.amazon.in/Redmi-Note-Pro-64GB-Black/dp/B07GD5CX5M
82,Samsung Galaxy J6 (Blue_ 32GB) with Offer,   12_990.00,https://www.amazon.in/Samsung-Galaxy-J6-Blue-Offer/dp/B07F6SH9TM
83,Moto G6 (Indigo Black_ 32GB),   13_999.00,https://www.amazon.in/Moto-G6-Indigo-Black-32GB/dp/B077PW9V3L
84,Redmi Y2 (Rose Gold_ 32GB),   9_999.00,https://www.amazon.in/Redmi-Y2-Rose-Gold-32GB/dp/B077Q193YL
